fecha,dia_semana,turno,pos_01,pos_02,pos_03,pos_04,pos_05,pos_06,pos_07,pos_08,pos_09,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20
2025-06-03,Martes,LA PREVIA,2817,8436,0243,5127,4321,0382,2609,2024,9770,6954,6056,3011,9306,4300,6375,4381,3299,4311,6588,5056
2025-06-03,Martes,LA PRIMERA,1986,9654,3972,3049,6628,5889,5698,4544,9787,7057,8206,2069,8517,4742,5214,1298,1494,6330,8233,3792
2025-06-03,Martes,MATUTINA,7278,2633,6996,6973,0853,2029,3835,3177,6167,7245,3200,3106,8774,0994,9215,1277,4660,9572,9041,3362
2025-06-03,Martes,VESPERTINA,3177,7620,0673,2009,5028,8467,1722,3238,6265,5060,2231,6639,5859,3187,1194,1929,2722,8124,0447,3414
2025-06-03,Martes,NOCTURNA,9955,4123,2473,8253,2164,5707,9973,5070,9420,4137,1160,9205,7563,2720,3767,5378,9241,4435,7313,3961
2025-06-04,Miércoles,LA PREVIA,2557,7458,9107,4528,8134,2511,0239,3720,7142,8454,4541,2977,6302,8119,7419,6094,6855,0166,0830,8987
2025-06-04,Miércoles,LA PRIMERA,4057,1597,0830,6969,5792,1715,7517,4349,3998,2458,5993,7241,9766,4282,7401,6247,9634,8850,0503,8080
2025-06-04,Miércoles,MATUTINA,1048,1898,1261,1726,2610,8703,3553,5700,7837,2108,9520,7598,1913,6539,5881,0070,2996,0811,9040,9545
2025-06-04,Miércoles,VESPERTINA,8497,8544,0313,9815,3464,7617,5601,6703,7660,0415,1662,4005,9707,3877,2037,0499,7285,9720,7065,7543
2025-06-04,Miércoles,NOCTURNA,3311,5355,4097,9483,1072,0640,4426,9274,5947,8992,3738,7372,9416,0433,3095,1456,3998,8386,0681,5592
2025-06-05,Jueves,LA PREVIA,2670,6385,5999,9884,2359,4791,1174,7413,7314,8414,6493,1927,4835,9996,1998,0700,0226,4325,4767,1749
2025-06-05,Jueves,LA PRIMERA,5424,3816,4091,6664,0796,3934,1987,1845,3304,5781,8335,7707,1302,8133,4536,1977,5936,4142,9950,8628
2025-06-05,Jueves,MATUTINA,1688,2807,4635,0811,2317,9270,9727,9789,8471,4598,7253,6069,3885,9876,1328,4440,0533,3114,7373,3135
2025-06-05,Jueves,VESPERTINA,2686,1499,5916,3841,3765,0910,7646,0640,2752,4266,4654,9686,0379,8766,9024,1512,7972,3616,9455,5056
2025-06-05,Jueves,NOCTURNA,2504,9196,7153,8718,2879,9706,7590,6778,5575,2370,7047,2783,7240,3564,1283,0573,9618,7643,0579,3661
2025-06-06,Viernes,LA PREVIA,9237,6945,2541,3677,6704,5856,4856,2279,4589,0834,9682,6598,0517,4524,9399,1485,7281,5924,6599,1476
2025-06-06,Viernes,LA PRIMERA,5248,8548,6511,4451,7227,9650,4281,3589,2902,7619,4688,6442,3149,0628,0905,6343,2279,9509,0586,3914
2025-06-06,Viernes,MATUTINA,6021,9974,9387,9944,0621,0749,9672,1913,9891,6030,7499,3150,6541,8704,3936,8516,5255,9920,5761,1382
2025-06-06,Viernes,VESPERTINA,4531,0118,0832,6414,5609,1553,0565,0464,4192,2254,1355,6440,6201,3503,0170,0605,9734,2498,3003,8001
2025-06-06,Viernes,NOCTURNA,0831,9018,6943,2012,9450,0769,5713,6054,7694,7387,3603,4447,2351,6575,4535,3344,6741,8517,9748,8331
2025-06-07,Sábado,LA PREVIA,0861,3323,4336,0811,1304,8408,1590,0497,6621,9358,7310,9106,4060,4625,6736,8586,2995,0755,8107,9511
2025-06-07,Sábado,LA PRIMERA,4758,9831,3924,0256,9193,0345,2267,0681,1811,5778,8857,5074,2625,0377,5716,1105,7375,5044,6589,0285
2025-06-07,Sábado,MATUTINA,9100,7613,4861,8630,0368,4006,6069,5659,5498,2909,5197,1885,4332,9365,0876,0386,8448,1218,6003,1320
2025-06-07,Sábado,VESPERTINA,7304,3215,8183,8963,0691,3160,1725,9610,0839,8753,7509,8393,3986,0148,9080,1770,3471,1019,0962,2290
2025-06-07,Sábado,NOCTURNA,0067,0911,4064,7156,4069,5154,1033,6251,2150,9940,0168,8536,8295,7062,7261,1406,9497,6000,7343,2520
2025-06-09,Lunes,LA PREVIA,6905,2349,0522,0988,2750,0568,1184,6768,4935,5775,9510,5056,1550,5276,8042,3672,5569,0573,8166,3366
2025-06-09,Lunes,LA PRIMERA,2932,9906,9929,8870,5890,0159,4096,0854,6988,4768,3677,2694,3101,3079,9748,1958,0943,0159,0513,0072
2025-06-09,Lunes,MATUTINA,2707,5865,5083,1033,8199,9404,9832,7911,5288,3434,6596,2259,5164,0827,0049,4852,0712,2992,7778,3840
2025-06-09,Lunes,VESPERTINA,2626,6093,1931,9247,3256,1137,4476,3462,2561,9349,2061,4808,2139,4889,4322,6920,1914,7227,0759,8916
2025-06-09,Lunes,NOCTURNA,3555,2059,4709,1742,9299,0162,0380,6637,2634,3356,9490,4151,9190,8487,1830,6706,5047,6706,8333,8769
2025-06-10,Martes,LA PREVIA,4988,0582,8601,8304,0827,0221,9940,6505,5317,2258,1564,2359,2215,8698,8345,6114,0905,6228,4310,9737
2025-06-10,Martes,LA PRIMERA,7468,6573,2535,5826,6541,2700,6872,6940,2539,9795,6605,3867,5051,1232,1556,0665,0121,9559,6307,4788
2025-06-10,Martes,MATUTINA,2812,8066,4972,2041,7623,8209,3545,8119,2674,7831,1327,7790,6924,2738,4191,9249,7265,4807,2089,6824
2025-06-10,Martes,VESPERTINA,3086,4502,1654,7422,5158,2046,7058,0871,0884,8495,1945,4239,6452,9139,4206,8388,7446,7254,6999,4921
2025-06-10,Martes,NOCTURNA,2068,2020,7662,8226,1125,7515,6843,5480,1699,8793,3710,8195,5684,2787,4079,4662,7533,5393,4529,1450
2025-06-11,Miércoles,LA PREVIA,9990,0066,5265,8373,9795,1629,3431,8182,3695,0834,8996,4821,2323,0139,1254,9036,5645,8952,5879,3317
2025-06-11,Miércoles,LA PRIMERA,3851,4519,5141,3466,7901,8746,8706,7381,6558,6686,6927,0820,3669,4182,3270,0841,0068,3883,8762,4183
2025-06-11,Miércoles,MATUTINA,6435,9693,0208,9566,9918,6922,5633,0938,3662,8246,8962,3816,1637,9443,7357,7459,5058,7336,2712,0382
2025-06-11,Miércoles,VESPERTINA,0321,9007,8904,7907,5786,4592,4813,9643,3391,9432,5489,3425,4744,8123,7651,1430,4026,2080,0999,2006
2025-06-11,Miércoles,NOCTURNA,5551,4844,9345,5963,4725,7944,5333,3922,7478,2314,3925,1455,4493,8956,8130,7762,0033,8573,2682,5157
2025-06-12,Jueves,LA PREVIA,2643,8078,2760,5305,7508,6456,4503,6278,9461,3361,1783,1670,2195,4448,6386,0042,0170,5261,8990,2589
